,city,lon,lat,wind_speed,max_temp,humidity,date,country,cloud
203,Inhambane,35.38,-23.86,15.43,74.16,77,1584493539,MZ,32
204,Benguela,13.41,-12.58,1.28,76.51,85,1584494122,AO,100
205,Cheţani,24.03,46.47,2.24,37.4,80,1584494123,RO,16
206,Yatou,122.38,37.15,14.83,49.17,63,1584494123,CN,0
207,Dubti,41.09,11.74,7.76,79.63,64,1584494123,ET,81
208,Waipawa,175.52,-41.41,12.75,62.01,67,1584493925,NZ,68
209,Broken Hill,141.43,-31.95,11.41,84.2,26,1584494124,AU,0
210,Ambatondrazaka,48.42,-17.83,2.35,64.36,96,1584494125,MG,37
211,Anadyr,177.48,64.75,6.71,28.4,68,1584494125,RU,10
212,La Palma,-118.05,33.85,6.93,61.0,47,1584494125,US,1
213,Bathsheba,-59.52,13.22,13.87,77.0,73,1584494125,BB,40
214,Nouadhibou,-17.03,20.93,21.92,64.4,72,1584494125,MR,72
215,Zhigansk,123.37,66.77,11.27,-28.52,91,1584493897,RU,0
216,Saurimo,20.39,-9.66,1.9,65.73,91,1584494126,AO,100
217,Saint Paul Harbor,-152.41,57.79,13.87,42.8,75,1584494126,US,40
218,Saint-Philippe,55.77,-21.36,5.82,75.2,88,1584494126,RE,90
219,Tokonou,-9.78,9.65,9.8,79.86,66,1584494126,GN,88
220,Fairbanks,-147.72,64.84,1.21,36.0,55,1584493914,US,75
221,Salinas,-121.66,36.68,6.93,55.4,66,1584494127,US,20
222,Chokurdakh,147.92,70.63,14.67,-8.43,92,1584494127,RU,100
223,Leeton,146.4,-34.57,6.93,78.8,38,1584494128,AU,0
224,Taiyuan,112.56,37.87,4.47,48.2,23,1584493910,CN,3
225,Dingle,122.67,11.0,11.65,76.77,80,1584493966,PH,66
226,Pucallpa,-74.55,-8.38,4.7,75.2,94,1584494128,PE,75
227,Asău,26.4,46.43,5.82,43.0,70,1584494128,RO,83
228,Lázaro Cárdenas,-102.2,17.96,7.76,80.65,67,1584494102,MX,0
229,Bayan,127.4,46.08,3.24,32.4,93,1584494129,CN,84
230,Pangody,74.49,65.85,17.09,16.23,93,1584494129,RU,95
231,Khanbari,87.2,27.37,6.22,37.96,48,1584494129,NP,0
232,Merauke,140.33,-8.47,6.17,84.07,70,1584494130,ID,67
233,Hualmay,-77.61,-11.1,6.13,73.26,70,1584494130,PE,100
234,Contai,87.75,21.78,3.33,73.33,85,1584494130,IN,0
235,Maceió,-35.74,-9.67,3.36,78.8,88,1584494130,BR,40
236,Maricá,-42.82,-22.92,6.93,77.0,78,1584494131,BR,75
237,Pierre,-100.35,44.37,19.46,41.0,75,1584494103,US,90
238,Cabo San Lucas,-109.91,22.89,3.36,78.8,69,1584493935,MX,75
239,Dikson,80.55,73.51,6.42,-7.85,100,1584494131,RU,100
240,Tilichiki,166.1,60.47,7.72,16.29,86,1584493938,RU,100
241,Vao,167.48,-22.67,18.54,77.25,74,1584493944,NC,32
242,Cururupu,-44.87,-1.83,2.06,74.86,95,1584494132,BR,81
243,Pokhara,83.98,28.23,3.06,57.49,65,1584494133,NP,0
244,Port Blair,92.75,11.67,6.31,82.81,69,1584493799,IN,100
245,Gamba,10.0,-2.65,1.03,76.84,87,1584494133,GA,100
246,Esim,-2.24,4.87,5.73,79.99,86,1584494133,GH,100
247,Zdvinsk,78.66,54.7,17.67,27.43,89,1584494133,RU,51
248,Kathu,98.33,7.92,4.7,80.6,74,1584494134,TH,20
249,Bingöl,40.49,38.88,5.5,34.65,97,1584494134,TR,100
250,Pemangkat,108.97,1.17,6.8,76.51,92,1584494134,ID,43
251,Turbiv,28.72,49.35,4.14,35.71,92,1584494134,UA,0
252,Majholi,79.92,23.5,4.38,66.34,36,1584494135,IN,0
253,Touros,-35.46,-5.2,4.7,80.6,83,1584494135,BR,20
254,Yerbogachën,108.01,61.28,3.18,-9.63,94,1584494135,RU,26
255,Umred,79.33,20.85,6.73,68.0,94,1584494135,IN,40
256,Rosa Zarate,-79.47,0.33,3.31,74.64,93,1584494136,EC,99
257,Wanning,110.4,18.8,5.82,73.31,79,1584494136,CN,100
258,La Asuncion,-63.86,11.03,10.29,68.0,100,1584494136,VE,90
259,Ilulissat,-51.1,69.22,21.92,6.8,42,1584494136,GL,88
260,Tuktoyaktuk,-133.04,69.45,1.12,-0.4,84,1584494136,CA,90
261,Petropavlovsk-Kamchatskiy,158.65,53.05,17.9,30.2,46,1584494010,RU,100
262,Kaduy,37.15,59.2,10.78,33.71,85,1584494137,RU,100
263,Tual,132.75,-5.67,2.66,83.25,66,1584494137,ID,75
264,Hong Kong,114.16,22.29,11.41,73.99,68,1584494045,HK,40
265,Labuhan,112.21,-6.88,2.98,78.03,89,1584493538,ID,81
266,Lagoa,-27.98,39.05,13.2,62.56,81,1584494138,PT,0
267,College,-147.8,64.86,0.78,36.0,55,1584494138,US,75
268,São João da Barra,-41.05,-21.64,13.87,75.2,88,1584493776,BR,75
269,Marrakesh,-8.01,31.63,6.93,53.6,71,1584493991,MA,75
270,Altagracia de Orituco,-66.38,9.86,5.75,65.59,97,1584494139,VE,35
271,Trelew,-65.31,-43.25,6.73,56.64,65,1584493776,AR,0
272,Marawi,124.29,8.0,3.0,82.0,73,1584494139,PH,100
273,Papayal,-80.74,-4.08,3.83,73.04,88,1584494139,PE,88
274,Honningsvåg,25.97,70.98,10.47,28.71,84,1584494140,NO,100
275,Kyaikkami,97.57,16.08,10.71,81.23,74,1584494140,MM,28
276,Las Palmas,-14.01,28.42,13.87,62.6,59,1584494140,ES,90
277,Kruisfontein,24.73,-34.0,8.32,62.53,82,1584494141,ZA,0
278,Bethel,-73.41,41.37,4.7,50.0,75,1584494142,US,1
279,Nuristan,70.83,35.3,9.42,7.95,73,1584494142,AF,34
280,Buala,159.59,-8.14,4.09,85.3,70,1584494142,SB,7
281,Mwense,28.7,-10.38,0.89,65.25,98,1584494142,ZM,62
282,Ixtapa,-105.2,20.7,9.17,77.0,78,1584494142,MX,90
283,Nagato,131.2,34.38,8.05,57.2,76,1584494143,JP,40
284,Bambanglipuro,110.28,-7.95,3.56,77.65,86,1584494143,ID,88
285,Pithorāgarh,80.22,29.58,2.48,46.67,83,1584494144,IN,0
286,Ostrovnoy,39.51,68.05,14.16,16.61,95,1584493866,RU,28
287,Lompoc,-120.46,34.64,9.17,55.99,54,1584493861,US,20
288,Balakhninskiy,114.28,58.01,7.61,18.95,94,1584494145,RU,100
289,Evangelista,121.1,13.33,8.99,80.01,79,1584494145,PH,74
290,Ruzsa,19.75,46.29,2.24,37.99,74,1584494145,HU,0
291,Hobyo,48.53,5.35,11.99,77.61,78,1584494145,SO,36
292,Bambuí,-45.98,-20.01,2.01,69.55,89,1584494146,BR,30
293,Lewistown,-77.57,40.6,8.05,50.0,65,1584493975,US,90
294,High Level,-117.14,58.52,8.05,21.2,53,1584494146,CA,40
295,Caniço,-16.85,32.63,24.16,60.8,67,1584494147,PT,40
296,Lac du Bonnet,-96.06,50.25,4.0,21.0,64,1584494147,CA,100
297,Unaí,-46.91,-16.36,1.61,69.53,89,1584494147,BR,18
298,Shaunavon,-108.42,49.65,15.5,23.14,87,1584494148,CA,38
299,Nuuk,-51.72,64.18,13.87,19.4,48,1584494148,GL,100
300,Safford,-109.71,32.83,8.05,73.4,16,1584494148,US,1
301,Manavālakurichi,77.3,8.13,26.73,78.8,78,1584494148,IN,20
302,Fatsa,37.5,41.03,2.24,37.4,83,1584494148,TR,75
303,Anaco,-64.47,9.44,7.09,76.35,67,1584494149,VE,68
304,Kendari,122.5,-3.94,2.71,78.12,89,1584494149,ID,59
305,Rosita,-84.4,13.93,3.83,71.96,95,1584494149,NI,38
306,Cimarron Hills,-104.7,38.86,4.7,48.0,75,1584493920,US,40
307,Mitha Tiwana,72.11,32.25,5.95,65.12,56,1584494149,PK,82
308,Brigantine,-74.36,39.41,4.7,55.4,76,1584494150,US,90
309,Anglet,-1.51,43.48,4.7,52.0,93,1584494150,FR,3
310,Utete,38.76,-7.99,2.53,73.04,96,1584494150,TZ,82
311,São Félix do Xingu,-51.99,-6.64,2.08,74.07,96,1584494150,BR,97
312,Namatanai,152.43,-3.67,4.34,84.06,71,1584494150,PG,100
313,Hirara,125.28,24.8,10.29,73.4,68,1584494151,JP,40
314,Faanui,-151.75,-16.48,7.4,83.66,70,1584494151,PF,95
315,Teya,92.63,60.38,5.28,10.58,85,1584494151,RU,100
316,Pisco,-76.22,-13.7,12.75,73.4,78,1584493975,PE,90
317,Cap Malheureux,57.61,-19.98,6.76,78.39,81,1584493905,MU,0
318,Innisfail,146.03,-17.53,10.16,76.08,88,1584494152,AU,58
319,Razdol'noye,131.92,43.55,4.47,39.2,55,1584494152,RU,0
320,Tabat,115.23,-2.63,3.29,78.35,82,1584494152,ID,1
321,Deder,41.45,9.32,3.51,68.86,68,1584494152,ET,94
322,Feuchtwangen,10.33,49.17,3.36,43.0,100,1584494153,DE,1
323,Kavaratti,72.64,10.57,4.61,82.53,69,1584493961,IN,38
324,Shashi,112.24,30.31,5.79,55.76,81,1584494153,CN,21
325,Tiarei,-149.33,-17.53,8.05,89.6,66,1584494008,PF,40
326,Mīnāb,57.08,27.15,4.7,60.8,93,1584494154,IR,0
327,Nome,-165.41,64.5,3.36,32.0,92,1584493948,US,90
328,Aranos,19.12,-24.13,9.6,69.98,69,1584494154,NA,1
329,Makkah al Mukarramah,39.83,21.43,2.68,71.56,51,1584493961,SA,0
330,Acapulco de Juárez,-99.89,16.86,13.87,84.2,79,1584494155,MX,5
331,Great Yarmouth,1.73,52.61,18.34,52.0,81,1584494155,GB,94
332,Quzhou,118.87,28.96,3.02,55.51,91,1584494155,CN,100
333,Álamo,-97.68,20.92,9.17,78.8,78,1584494155,MX,90
334,Arrondissement de Langres,5.33,47.83,5.82,46.0,100,1584494155,FR,1
335,Kieta,155.63,-6.22,3.31,84.36,68,1584493961,PG,42
336,Tautira,-149.15,-17.73,8.05,89.6,66,1584494156,PF,40
337,Mawlaik,94.42,23.63,1.45,62.64,48,1584494156,MM,0
338,Quatre Cocos,57.76,-20.21,3.8,78.78,77,1584493955,MU,0
339,Shitanjing,106.34,39.23,6.73,43.77,21,1584494156,CN,13
340,Prudnik,17.57,50.32,5.57,44.01,78,1584494157,PL,72
341,Morondava,44.28,-20.28,3.22,72.03,90,1584494157,MG,0
342,Ankazoabo,44.52,-22.28,6.6,65.16,91,1584494157,MG,0
343,Kiryat Gat,34.76,31.61,5.82,54.0,93,1584494158,IL,75
344,Cabra,-4.44,37.47,11.41,60.01,71,1584494158,ES,26
345,Goderich,-81.72,43.75,4.76,33.01,79,1584494159,CA,34
346,Vardø,31.11,70.37,8.86,29.16,86,1584494159,NO,95
347,Khvoynaya,34.53,58.9,11.3,32.94,86,1584494159,RU,97
348,Tura,90.22,25.52,2.01,64.6,46,1584493980,IN,0
349,Haines Junction,-137.51,60.75,3.04,25.57,76,1584493776,CA,53
350,Puerto Baquerizo Moreno,-89.6,-0.9,10.29,80.6,78,1584494160,EC,40
351,Caravelas,-39.25,-17.71,10.67,81.01,83,1584494160,BR,0
352,Mackenzie,-123.17,55.3,2.24,35.6,40,1584494160,CA,1
353,Vágur,-6.81,61.47,39.01,39.83,73,1584494160,FO,85
354,Opuwo,13.84,-18.06,8.5,67.6,78,1584494161,NA,47
355,Grand Gaube,57.66,-20.01,5.82,73.4,100,1584494161,MU,20
356,Camacha,-16.33,33.08,19.46,60.8,59,1584494161,PT,75
357,Mezen',44.24,65.85,14.05,25.72,93,1584493969,RU,100
358,Tabuk,121.44,17.42,6.73,71.02,81,1584494162,PH,78
359,Kaeo,173.78,-35.1,3.0,71.01,49,1584494162,NZ,0
360,Guadalupe,-100.25,25.68,6.93,87.8,46,1584494014,MX,40
361,Sokolo,-6.12,14.73,9.33,81.09,11,1584494163,ML,81
362,Linxia Chengguanzhen,103.21,35.6,2.37,35.74,54,1584494098,CN,66
363,Nishihara,127.76,26.18,9.17,68.0,60,1584494163,JP,75
364,Westport,-73.36,41.14,9.84,52.0,75,1584494163,US,1
365,Sørland,12.69,67.67,26.22,41.18,71,1584493961,NO,93
366,Iquitos,-73.25,-3.75,3.36,73.4,94,1584494009,PE,75
367,Luau,22.22,-10.71,4.72,65.8,97,1584494165,AO,100
368,Weligama,80.42,5.97,11.56,77.32,76,1584494165,LK,100
369,Vila Franca do Campo,-25.43,37.72,3.36,55.4,76,1584493774,PT,20
370,Matagami,-77.63,49.75,11.41,12.2,72,1584494166,CA,1
371,Nyurba,118.33,63.28,5.28,-7.08,91,1584494166,RU,100
